#
#   THE LEVEL STRUCTURE OF {114}^Cd FROM (n, \gamma) AND (d, p) STUDIES
#
# (A. MHEEMEED  K. SCHRECKENBACH, G. BARREAU, H. R. FAUST,
#  H. G. BORNER, R. BRISSOT, P. HUNGERFORD, H. H. SCHMIDT,
#  H. J. SCHEERER, T. VON EGIDY, K. HEYDE J. L. WOOD, P. VAN ISACKER,
#  M. WAROQUIER, G. WENES and M. L. STELTS)
#                 NUCL.PHYS. A412 (1984) 113-140
#
#                             APPENDIX
#
#     TRANSITIONS OBSERVED IN THE {113}^Cd(n_{th},\gamma){ll4}^Cd REACTION
#
# Table Al summarizes the observed properties of transitions in {114}^Cd following
# thermal neutron capture. All uncertainties are given in brackets in units of the last
# digits.
#
#                            TABLE A1
#  TRANSITIONS OBSERVED IN THE  {113}^Cd(n_{th},\gamma){ll4}^Cd REACTION
#
# The y-ray intensities (I_{\gamma}) are normalized to lo^4 captured neutrons based on an
# estimation of 95% for the observed ground state population.
# E_{\gamma}(\Delta{E_{\gamma}}) I_{\gamma}{\Delta(I_{\gamma})}
# (keV)                               (1/10000n)
#
60.911(2)                         0.12(2)
75.177(5)                         0.0027(4)
78.601(3)                         0.090(15)
80.605(3)                         0.046(5)
85.570(3)                         0.121(13)
89.929(2)                         0.40(4)
95.902(3)                         125(10)
99.533(6)                         0.055(13)
102.515(10)                       0.049(19)
107.220(6)                        0.049(11)
109.915(3)                        0.080(8)
110.985(5)                        0.171(12)
116.230(4)                        0.105(12)
123.499(4)                        0.053(8)
124.093(5)                        0.062(8)
124.698(3)                        0.093(11)
130.075(5)                        0.045(10)
130.163(3)                        0.092(29)
132.015(9)                        0.041(9)
133.919(4)                        0.062(10)
138.320(7)                        0.044(13)
138.376(12)                       0.046(12)
140.369(18)                       0.039(17)
140.659(3)                        0.180(11)
142.099(16)                       0.055(10)
142.412(9)                        0.083(13)
151.378(3)                        0.197(10)
152.432(11)                       0.056(11)
153.488(7)                        0.056(14)
154.341(6)                        0.087(14)
154.639(3)                        0.91(8)
156.141(5)                        0.102(11)
156.531(3)                        0.19(3)
162.378(7)                        0.13(4)
165.270(5)                        0.096(9)
165.895(6)                        0.275(24)
170.857(15)                       0.045(9)
171.077(5)                         <0.03
173.254(7)                        0.107(10)
175.531(13)                       0.046(16)
